,Equipment,Age
0,1014059.0,22.0
1,1156767.0,19.0
2,1011680.0,22.0
3,1023346.0,21.0
4,1020406.0,23.0
5,1069897.0,19.0
6,1020404.0,21.0
7,1149224.0,26.0
8,1028458.0,21.0
9,1020378.0,24.0
10,1013587.0,23.0
11,1020410.0,26.0
12,1023360.0,22.0
13,1011729.0,26.0
14,1159756.0,25.0
15,1028433.0,27.0
16,1020403.0,20.0
17,1060890.0,23.0
18,1027227.0,26.0
19,1159763.0,21.0
20,1013870.0,26.0
21,1128837.0,26.0
22,1163358.0,27.0
23,1052079.0,25.0
24,1011144.0,26.0
25,1011426.0,19.0
26,1020409.0,22.0
27,1031021.0,24.0
28,1013817.0,18.0
29,1166862.0,18.0
30,1162935.0,19.0
31,1159788.0,25.0
32,1010843.0,27.0
33,1131230.0,25.0
34,1159785.0,26.0
35,1149222.0,21.0
36,1149218.0,22.0
37,1159793.0,24.0
38,1053466.0,20.0
39,1159764.0,22.0
40,1149221.0,25.0
41,1023306.0,21.0
42,1166218.0,21.0
43,1028450.0,18.0
44,1159753.0,26.0
45,1159810.0,26.0
46,1013736.0,18.0
47,1037422.0,21.0
48,1109877.0,18.0
49,1128836.0,20.0
50,1038142.0,22.0
51,1013584.0,23.0
52,1160501.0,20.0
53,1159759.0,27.0
54,1159748.0,27.0
55,1165855.0,24.0
56,1159754.0,23.0
57,1159795.0,25.0
58,1164571.0,26.0
59,1013666.0,20.0
60,1026656.0,21.0
61,1166783.0,20.0
62,1028441.0,19.0
63,1023332.0,20.0
64,1069896.0,21.0
65,1159767.0,25.0
66,1030248.0,26.0
67,1162755.0,26.0
68,1159794.0,27.0
69,1094088.0,20.0
70,1059811.0,26.0
71,1036256.0,25.0
72,1159799.0,18.0
73,1149220.0,27.0
74,1011117.0,27.0
75,1108006.0,24.0
76,1048355.0,23.0
77,1011147.0,26.0
78,1160500.0,18.0
79,1157135.0,20.0
80,1149227.0,21.0
81,1010796.0,20.0
82,1056754.0,24.0
83,1028431.0,20.0
84,1027011.0,25.0
85,1028445.0,26.0
86,1014853.0,18.0
87,1165466.0,20.0
88,1150101.0,26.0
89,1159808.0,18.0
90,1010832.0,26.0
91,1028547.0,20.0
92,1165343.0,22.0
93,1042322.0,19.0
94,1083234.0,21.0
95,1036341.0,20.0
96,1010942.0,18.0
97,1027289.0,27.0
98,1165464.0,22.0
99,1045064.0,18.0
100,1020343.0,23.0
101,1159783.0,23.0
102,1020346.0,27.0
103,156958.0,19.0
104,1028427.0,20.0
105,1020338.0,23.0
106,111784.0,20.0
107,1057453.0,25.0
108,1020396.0,20.0
109,112200.0,18.0
110,1027003.0,25.0
111,1022958.0,21.0
112,1159790.0,26.0
113,1053374.0,24.0
114,102816.0,20.0
115,1019940.0,21.0
116,1165469.0,26.0
117,1014109.0,25.0
118,1166787.0,25.0
119,1165467.0,24.0
120,1123220.0,18.0
121,1166791.0,24.0
122,1027325.0,27.0
123,1166789.0,22.0
124,1123223.0,26.0
125,1034217.0,19.0
126,1165859.0,24.0
127,1106312.0,27.0
128,1014083.0,27.0
129,1028892.0,24.0
130,1149223.0,19.0
131,1020333.0,27.0
132,1159805.0,20.0
133,1159755.0,19.0
134,1159787.0,27.0
135,1159757.0,20.0
136,1159806.0,24.0
137,1076278.0,22.0
138,1159812.0,25.0
139,1160820.0,23.0
140,1160498.0,23.0
141,1028527.0,23.0
142,1014150.0,18.0
143,1166788.0,20.0
144,1020384.0,24.0
145,1060724.0,21.0
146,1055458.0,20.0
147,1013837.0,18.0
148,1011260.0,23.0
149,1046103.0,22.0
150,156972.0,23.0
151,1159789.0,24.0
152,158945.0,25.0
153,1105260.0,20.0
154,1160496.0,24.0
155,1013072.0,25.0
156,1159784.0,19.0
157,1106313.0,26.0
158,1105617.0,21.0
159,1063302.0,20.0
160,1159792.0,27.0
161,1052093.0,27.0
162,111963.0,20.0
163,1089484.0,25.0
164,1013319.0,25.0
165,1013586.0,20.0
166,1059753.0,20.0
167,1166850.0,24.0
168,1020182.0,21.0
169,1116187.0,24.0
170,1153985.0,26.0
171,1105253.0,22.0
172,1160495.0,27.0
173,1011854.0,23.0
174,1083476.0,22.0
175,1160492.0,25.0
176,1026921.0,24.0
177,1045214.0,23.0
178,1028456.0,27.0
179,1023171.0,20.0
180,1165484.0,24.0
181,1118758.0,24.0
182,1166560.0,22.0
183,1165459.0,21.0
184,111974.0,26.0
185,1166557.0,19.0
186,1028835.0,25.0
187,1021362.0,20.0
188,1014988.0,25.0
189,1053204.0,20.0
190,1166588.0,20.0
191,156956.0,27.0
192,1149226.0,26.0
193,1126178.0,18.0
194,1020345.0,22.0
195,1093371.0,24.0
196,1166790.0,18.0
197,1026979.0,22.0
198,1159807.0,23.0
199,1055007.0,24.0
200,1065679.0,25.0
201,1129395.0,19.0
202,1159758.0,19.0
203,1021350.0,18.0
204,1105810.0,22.0
205,156948.0,18.0
206,184641.0,23.0
207,1020688.0,18.0
208,1043852.0,25.0
209,1091682.0,19.0
210,1166852.0,24.0
211,1020173.0,21.0
212,1045216.0,21.0
213,1023345.0,21.0
214,1020188.0,18.0
215,1160497.0,23.0
216,1014191.0,26.0
217,102864.0,18.0
218,1154566.0,26.0
219,1026828.0,27.0
220,1020690.0,26.0
221,1020283.0,18.0
222,1165462.0,18.0
223,1058732.0,25.0
224,1103813.0,26.0
225,1150255.0,27.0
226,1159761.0,24.0
227,1166589.0,24.0
228,1033744.0,19.0
229,1012950.0,20.0
230,1082547.0,27.0
231,1055700.0,20.0
232,1037075.0,18.0
233,1159804.0,26.0
234,1078781.0,18.0
235,1087502.0,22.0
236,1060881.0,19.0
237,1109880.0,25.0
238,1108096.0,21.0
239,1083212.0,24.0
240,165755.0,26.0
241,1027989.0,19.0
242,1163780.0,22.0
243,1166422.0,27.0
244,1166558.0,24.0
245,1055288.0,26.0
246,1020024.0,25.0
247,1031156.0,23.0
248,1165460.0,23.0
249,1036291.0,21.0
250,1099699.0,22.0
251,1129400.0,21.0
252,1033356.0,18.0
253,156963.0,20.0
254,1037257.0,27.0
255,1166565.0,24.0
256,1059769.0,20.0
257,1105802.0,23.0
258,1051144.0,26.0
259,1159803.0,19.0
260,109368.0,23.0
261,1165849.0,26.0
262,1165456.0,23.0
263,1048675.0,25.0
264,1103831.0,24.0
265,1019684.0,26.0
266,1164501.0,27.0
267,1057931.0,23.0
268,1074683.0,19.0
269,1105287.0,26.0
270,1039400.0,23.0
271,1019968.0,19.0
272,1166590.0,26.0
273,1010943.0,21.0
274,1055277.0,27.0
275,1157520.0,18.0
276,1051395.0,24.0
277,1019983.0,26.0
278,1150613.0,26.0
279,1038596.0,27.0
280,1068574.0,21.0
281,1013447.0,20.0
282,1159801.0,23.0
283,1105291.0,25.0
284,1023883.0,20.0
285,1163601.0,24.0
286,1123135.0,22.0
287,1138955.0,25.0
288,1052403.0,23.0
289,112425.0,23.0
290,1030529.0,24.0
291,1054267.0,18.0
292,1166593.0,26.0
293,201279.0,23.0
294,1167072.0,26.0
295,1084207.0,25.0
296,1053270.0,24.0
297,1059715.0,26.0
298,1060698.0,19.0
299,1157984.0,21.0
300,1037266.0,23.0
301,1045693.0,18.0
302,1124647.0,27.0
303,1111952.0,25.0
304,111959.0,18.0
305,1056714.0,26.0
306,102059.0,21.0
307,1028516.0,24.0
308,1105267.0,19.0
309,1166566.0,21.0
310,109363.0,21.0
311,1165854.0,27.0
312,1150771.0,21.0
313,101638.0,24.0
314,102450.0,20.0
315,1021451.0,19.0
316,1052827.0,25.0
317,1150249.0,21.0
318,1165858.0,21.0
319,1094535.0,26.0
320,1163600.0,19.0
321,1043841.0,25.0
322,1023516.0,19.0
323,108455.0,26.0
324,1052814.0,24.0
325,1138929.0,23.0
326,1055565.0,21.0
327,1013630.0,19.0
328,1163767.0,24.0
329,1083222.0,22.0
330,1164024.0,25.0
331,1080614.0,19.0
332,1035669.0,18.0
333,1079333.0,25.0
334,1109972.0,26.0
335,156943.0,20.0
336,1019655.0,24.0
337,1052404.0,20.0
338,1118450.0,20.0
339,1104549.0,19.0
340,1105262.0,18.0
341,1161530.0,24.0
342,1166015.0,26.0
343,1074754.0,20.0
344,1020292.0,26.0
345,1105240.0,21.0
346,1026892.0,22.0
347,1033646.0,26.0
348,1026891.0,26.0
349,1106335.0,19.0
350,1012919.0,24.0
351,1055278.0,27.0
352,102893.0,21.0
353,112398.0,27.0
354,1159786.0,22.0
355,1025252.0,23.0
356,1164220.0,19.0
357,1045215.0,21.0
358,184679.0,22.0
359,1055697.0,21.0
360,109483.0,19.0
361,1123102.0,22.0
362,1013183.0,21.0
363,1033663.0,26.0
364,1078745.0,24.0
365,1138958.0,19.0
366,1165342.0,23.0
367,1053041.0,22.0
368,156962.0,20.0
369,1074762.0,25.0
370,1159798.0,24.0
371,419580.0,22.0
372,1053367.0,21.0
373,1053450.0,18.0
374,1105125.0,21.0
375,1011809.0,19.0
376,1037246.0,23.0
377,1078753.0,27.0
378,1084204.0,22.0
379,1078773.0,20.0
380,1083214.0,27.0
381,1099700.0,26.0
382,1106687.0,23.0
383,1165865.0,24.0
384,1027414.0,19.0
385,1138883.0,20.0
386,1052780.0,24.0
387,1055056.0,20.0
388,1055577.0,19.0
389,111968.0,19.0
390,107308.0,26.0
391,1081042.0,25.0
392,1054195.0,20.0
